mean_degree,degree_variance,density,radius_by_leaps,diameter_by_leaps,min_length,max_length,radius_by_length,diameter_by_length,total_data_rate,unexecuted,successes,blocks,unexecuted_rate,success_rate,block_rate
2,0,0.2222222222222222,5,5,365.43644302507414,3202.220632439111,4222.556034364854,5269.570726971549,6600,0,30,15,0.0,0.6666666666666666,0.3333333333333333
2.2,0.17777777777777776,0.24444444444444444,4,5,365.43644302507414,3202.220632439111,4214.800926008669,5269.570726971549,6600,0,30,15,0.0,0.6666666666666666,0.3333333333333333
2.2,0.17777777777777776,0.24444444444444444,4,5,365.43644302507414,3202.220632439111,4147.890812596977,5269.570726971549,6600,0,30,15,0.0,0.6666666666666666,0.3333333333333333
2.2,0.17777777777777776,0.24444444444444444,3,5,365.43644302507414,3202.220632439111,4124.4943075008,5269.570726971549,6600,0,30,15,0.0,0.6666666666666666,0.3333333333333333
2.2,0.17777777777777776,0.24444444444444444,3,5,365.43644302507414,3202.220632439111,2678.680697549923,5246.039551992998,8680,0,38,7,0.0,0.8444444444444444,0.15555555555555556
2.2,0.17777777777777776,0.24444444444444444,3,5,365.43644302507414,3202.220632439111,2678.680697549923,5246.039551992998,9680,0,39,6,0.0,0.8666666666666667,0.13333333333333333
2.2,0.17777777777777776,0.24444444444444444,4,5,365.43644302507414,3202.220632439111,3178.6894574605594,5246.039551992998,9680,0,39,6,0.0,0.8666666666666667,0.13333333333333333
2.2,0.17777777777777776,0.24444444444444444,4,5,365.43644302507414,3202.220632439111,4222.556034364854,5246.039551992998,6740,0,32,13,0.0,0.7111111111111111,0.28888888888888886
2.2,0.17777777777777776,0.24444444444444444,4,5,365.43644302507414,3202.220632439111,4149.6940934846,5269.570726971549,6600,0,30,15,0.0,0.6666666666666666,0.3333333333333333
2.2,0.17777777777777776,0.24444444444444444,4,5,365.43644302507414,3202.220632439111,4125.769912750904,5269.570726971549,6600,0,30,15,0.0,0.6666666666666666,0.3333333333333333
2.2,0.17777777777777776,0.24444444444444444,3,5,239.02331360824977,3202.220632439111,2678.680697549923,5246.039551992998,8880,0,40,5,0.0,0.8888888888888888,0.1111111111111111
2.2,0.17777777777777776,0.24444444444444444,3,5,365.43644302507414,3202.220632439111,2678.680697549923,5246.039551992998,8880,0,40,5,0.0,0.8888888888888888,0.1111111111111111
2.2,0.17777777777777776,0.24444444444444444,3,5,365.43644302507414,3202.220632439111,2705.16132416476,5246.039551992998,9080,0,41,4,0.0,0.9111111111111111,0.08888888888888889
2.2,0.17777777777777776,0.24444444444444444,4,5,365.43644302507414,3202.220632439111,4222.556034364854,5085.540720754585,7140,0,35,10,0.0,0.7777777777777778,0.2222222222222222
2.2,0.17777777777777776,0.24444444444444444,4,5,365.43644302507414,3202.220632439111,4222.556034364854,5269.570726971549,7040,0,34,11,0.0,0.7555555555555555,0.24444444444444444
2.2,0.17777777777777776,0.24444444444444444,4,5,365.43644302507414,3202.220632439111,4135.2907505335925,5269.570726971549,6600,0,30,15,0.0,0.6666666666666666,0.3333333333333333
2.2,0.17777777777777776,0.24444444444444444,4,5,296.5558211351698,3202.220632439111,2678.680697549923,5246.039551992998,9080,0,41,4,0.0,0.9111111111111111,0.08888888888888889
2.2,0.17777777777777776,0.24444444444444444,3,5,365.43644302507414,3202.220632439111,2678.680697549923,4758.832287697457,10180,0,43,2,0.0,0.9555555555555556,0.044444444444444446
2.2,0.17777777777777776,0.24444444444444444,3,5,365.43644302507414,3202.220632439111,2463.460724310873,4530.8108188433125,9280,0,43,2,0.0,0.9555555555555556,0.044444444444444446
2.2,0.17777777777777776,0.24444444444444444,3,5,365.43644302507414,3202.220632439111,3653.0523141423596,5007.1459408421715,8440,0,38,7,0.0,0.8444444444444444,0.15555555555555556
2.2,0.17777777777777776,0.24444444444444444,4,5,365.43644302507414,3202.220632439111,3944.532425668452,5269.570726971549,7180,0,36,9,0.0,0.8,0.2
2.2,0.17777777777777776,0.24444444444444444,4,5,365.43644302507414,3202.220632439111,2678.680697549923,5246.039551992998,8840,0,39,6,0.0,0.8666666666666667,0.13333333333333333
2.2,0.17777777777777776,0.24444444444444444,4,5,294.4695548715736,3202.220632439111,2127.102176262971,4191.6353204466795,10280,0,44,1,0.0,0.9777777777777777,0.022222222222222223
2.2,0.17777777777777776,0.24444444444444444,3,5,365.43644302507414,3202.220632439111,2103.0525781152032,4167.5857222989125,9280,0,43,2,0.0,0.9555555555555556,0.044444444444444446
2.2,0.17777777777777776,0.24444444444444444,3,5,365.43644302507414,3202.220632439111,3013.971270637285,5007.1459408421715,8480,0,39,6,0.0,0.8666666666666667,0.13333333333333333
2.2,0.17777777777777776,0.24444444444444444,3,5,365.43644302507414,3202.220632439111,3463.2706040272415,5269.570726971549,7280,0,37,8,0.0,0.8222222222222222,0.17777777777777778
2.2,0.17777777777777776,0.24444444444444444,4,5,365.43644302507414,3202.220632439111,3440.2300290458666,4611.217117093932,9580,0,38,7,0.0,0.8444444444444444,0.15555555555555556
2.2,0.17777777777777776,0.24444444444444444,4,5,365.43644302507414,3202.220632439111,3102.954587046752,4321.439655071936,8580,0,38,7,0.0,0.8444444444444444,0.15555555555555556
2.2,0.17777777777777776,0.24444444444444444,3,5,365.43644302507414,3202.220632439111,2567.358854443075,5007.1459408421715,7480,0,38,7,0.0,0.8444444444444444,0.15555555555555556
2.2,0.17777777777777776,0.24444444444444444,3,5,365.43644302507414,3202.220632439111,3045.928531656811,5269.570726971549,7280,0,37,8,0.0,0.8222222222222222,0.17777777777777778
2.2,0.17777777777777776,0.24444444444444444,4,5,365.43644302507414,3202.220632439111,4222.556034364854,5269.570726971549,6600,0,30,15,0.0,0.6666666666666666,0.3333333333333333
2.2,0.17777777777777776,0.24444444444444444,4,5,365.43644302507414,3202.220632439111,4222.556034364854,5269.570726971549,6600,0,30,15,0.0,0.6666666666666666,0.3333333333333333
2.2,0.17777777777777776,0.24444444444444444,3,5,365.43644302507414,3202.220632439111,4222.556034364854,5269.570726971549,6600,0,30,15,0.0,0.6666666666666666,0.3333333333333333
2.2,0.17777777777777776,0.24444444444444444,4,5,365.43644302507414,3202.220632439111,4222.556034364854,5269.570726971549,6600,0,30,15,0.0,0.6666666666666666,0.3333333333333333
2.2,0.17777777777777776,0.24444444444444444,4,5,365.43644302507414,3202.220632439111,4222.556034364854,5269.570726971549,6600,0,30,15,0.0,0.6666666666666666,0.3333333333333333
2.2,0.17777777777777776,0.24444444444444444,4,5,365.43644302507414,3202.220632439111,4222.556034364854,5206.121238083605,6600,0,30,15,0.0,0.6666666666666666,0.3333333333333333
2.4,0.48888888888888893,0.26666666666666666,4,5,365.43644302507414,3202.220632439111,4147.890812596977,5269.570726971549,6600,0,30,15,0.0,0.6666666666666666,0.3333333333333333
2.4,0.48888888888888893,0.26666666666666666,3,4,365.43644302507414,3202.220632439111,4124.4943075008,5269.570726971549,6600,0,30,15,0.0,0.6666666666666666,0.3333333333333333
2.4,0.48888888888888893,0.26666666666666666,3,4,365.43644302507414,3202.220632439111,2678.680697549923,5246.039551992998,8680,0,38,7,0.0,0.8444444444444444,0.15555555555555556
2.4,0.48888888888888893,0.26666666666666666,3,4,365.43644302507414,3202.220632439111,2678.680697549923,5246.039551992998,9680,0,39,6,0.0,0.8666666666666667,0.13333333333333333
2.4,0.48888888888888893,0.26666666666666666,3,4,365.43644302507414,3202.220632439111,3178.6894574605594,5246.039551992998,9680,0,39,6,0.0,0.8666666666666667,0.13333333333333333
2.4,0.48888888888888893,0.26666666666666666,4,4,365.43644302507414,3202.220632439111,4214.800926008669,5246.039551992998,6740,0,32,13,0.0,0.7111111111111111,0.28888888888888886
2.4,0.26666666666666666,0.26666666666666666,4,4,365.43644302507414,3202.220632439111,4149.6940934846,5269.570726971549,6600,0,30,15,0.0,0.6666666666666666,0.3333333333333333
2.4,0.26666666666666666,0.26666666666666666,4,4,365.43644302507414,3202.220632439111,4125.769912750904,5269.570726971549,6600,0,30,15,0.0,0.6666666666666666,0.3333333333333333
2.4,0.26666666666666666,0.26666666666666666,3,4,239.02331360824977,3202.220632439111,2678.680697549923,5246.039551992998,8880,0,40,5,0.0,0.8888888888888888,0.1111111111111111
2.4,0.26666666666666666,0.26666666666666666,3,4,365.43644302507414,3202.220632439111,2678.680697549923,5246.039551992998,8880,0,40,5,0.0,0.8888888888888888,0.1111111111111111
2.4,0.26666666666666666,0.26666666666666666,3,4,365.43644302507414,3202.220632439111,2705.16132416476,5246.039551992998,9080,0,41,4,0.0,0.9111111111111111,0.08888888888888889
2.4,0.26666666666666666,0.26666666666666666,4,4,365.43644302507414,3202.220632439111,4214.800926008669,5085.540720754585,7140,0,35,10,0.0,0.7777777777777778,0.2222222222222222
2.4,0.26666666666666666,0.26666666666666666,4,4,365.43644302507414,3202.220632439111,4214.800926008669,5269.570726971549,7040,0,34,11,0.0,0.7555555555555555,0.24444444444444444
2.4,0.48888888888888893,0.26666666666666666,4,4,365.43644302507414,3202.220632439111,4127.535642177408,5269.570726971549,6600,0,30,15,0.0,0.6666666666666666,0.3333333333333333
2.4,0.48888888888888893,0.26666666666666666,3,4,296.5558211351698,3202.220632439111,2678.680697549923,5246.039551992998,9080,0,41,4,0.0,0.9111111111111111,0.08888888888888889
2.4,0.48888888888888893,0.26666666666666666,3,4,365.43644302507414,3202.220632439111,2678.680697549923,4758.832287697457,10180,0,43,2,0.0,0.9555555555555556,0.044444444444444446
2.4,0.48888888888888893,0.26666666666666666,3,4,365.43644302507414,3202.220632439111,2463.460724310873,4530.8108188433125,9280,0,43,2,0.0,0.9555555555555556,0.044444444444444446
